# control	iso_ref  (from NIST OLIR 800-53r5 -> ISO 27001:2022, public domain)
RA-1	A.5.36
RA-1	A.5.37
RA-1	A.5.4
RA-10	A.5.7
RA-2	A.5.12
RA-3	6.1.2
RA-3	8.2
RA-3	9.3.2
RA-3	A.8.8
RA-5	A.8.8
RA-7	10.2
RA-7	6.1.3
RA-7	8.3
RA-9	A.5.22
SA-1	5.2
SA-1	5.3
SA-1	7.5.1
SA-1	7.5.2
SA-1	7.5.3
SA-1	8.1
SA-1	A.5.1
SA-1	A.5.2
SA-1	A.5.23
SA-1	A.5.31
SA-1	A.5.36
SA-1	A.5.37
SA-1	A.5.4
SA-10	A.8.28
SA-10	A.8.30
SA-10	A.8.32
SA-10	A.8.9
SA-11	A.8.29
SA-11	A.8.30
SA-11(1)	A.8.28
SA-15	A.5.8
SA-15	A.8.25
SA-15	A.8.30
SA-15(5)	A.8.28
SA-17	A.8.25
SA-17	A.8.27
SA-21	A.6.1
SA-3	A.5.2
SA-3	A.5.8
SA-3	A.8.25
SA-3	A.8.31
SA-3(2)	A.8.33
SA-4	8.1
SA-4	A.5.20
SA-4	A.5.23
SA-4	A.5.8
SA-4	A.8.29
SA-4	A.8.30
SA-4(3)	A.8.28
SA-5	7.5.1
SA-5	7.5.2
SA-5	7.5.3
SA-5	A.5.37
SA-8	A.8.27
SA-8	A.8.28
SA-9	A.5.14
SA-9	A.5.2
SA-9	A.5.22
SA-9	A.5.23
SA-9	A.5.4
SA-9	A.5.8
SA-9	A.8.21
SA-9(3)	A.5.23
SC-1	5.2
SC-1	5.3
SC-1	7.5.1
SC-1	7.5.2
SC-1	7.5.3
SC-1	A.5.1
SC-1	A.5.2
SC-1	A.5.31
SC-1	A.5.36
SC-1	A.5.37
SC-1	A.5.4
SC-10	A.8.20
SC-12	A.8.24
SC-13	A.8.24
SC-13	A.8.26
SC-15	A.5.14
SC-17	A.8.24
SC-28	A.5.10
SC-28	A.5.33
SC-28(1)	A.5.33
SC-5(2)	A.8.6
SC-7	A.5.14
SC-7	A.8.16
SC-7	A.8.20
SC-7	A.8.22
SC-7	A.8.23
SC-7(10)	A.8.12
SC-7(8)	A.8.23
SC-8	A.5.10
SC-8	A.5.14
SC-8	A.5.33
SC-8	A.8.20
SC-8	A.8.26
SI-1	5.2
SI-1	5.3
SI-1	7.5.1
SI-1	7.5.2
SI-1	7.5.3
SI-1	A.5.1
SI-1	A.5.2
SI-1	A.5.31
SI-1	A.5.36
SI-1	A.5.37
SI-1	A.5.4
SI-19(4)	A.8.11
SI-2	A.6.8
SI-2	A.8.32
SI-2	A.8.8
SI-20	A.8.12
SI-21	A.8.10
SI-3	A.8.7
SI-4	A.8.16
SI-4(13)	A.8.16
SI-4(16)	A.8.16
SI-4(4)	A.8.16
SI-5	A.5.6
SI-5	A.8.8
SR-1	5.2
SR-1	5.3
SR-1	7.5.1
SR-1	7.5.2
SR-1	7.5.3
SR-1	A.5.1
SR-1	A.5.19
SR-1	A.5.2
SR-1	A.5.31
SR-1	A.5.36
SR-1	A.5.37
SR-1	A.5.4
SR-2	A.5.19
SR-2	A.5.20
SR-2	A.5.21
SR-2	A.8.30
SR-3	A.5.20
SR-3	A.5.21
SR-4	A.5.21
SR-4	A.8.30
SR-5	A.5.20
SR-5	A.5.21
SR-5	A.5.23
SR-5(2)	A.8.29
SR-6	A.5.22
SR-7	A.5.22
